Fire_Size,Fire_Size_Class,Fire_Cause,Latitude,Longitude,State,Discovery_Month,Discovery_Date,Discovery_Year,Vegetation,Fire_Magnitude,Temp_Pre_30,Temp_Pre_15,Temp_Pre_7,Temp_Present,Wind_Pre_30,Wind_Pre_15,Wind_Pre_7,Wind_Present,Hum_Pre_30,Hum_Pre_15,Hum_Pre_7,Hum_Present,Prec_Pre_30,Prec_Pre_15,Prec_Pre_7,Prec_Present
10,C,Arson,37.4961,-83.3867,KY,Apr,3/7/2001,2001,0,1,6.592910849,6.976694915,8.87992278,16.36521226,2.648574822,2.409579439,2.171111111,2.799386503,61.50570342,61.80051151,70.1,55.75313283,60.3,31.9,24,23
1,B,Lightning,31.06063,-98.36158001,TX,Sep,8/24/2006,2006,12,0.1,25.6489842,24.73809524,24.80995475,21.90097933,2.831151242,2.81991342,3.616742081,2.913710555,63.57562077,66.68398268,66.12217195,65.31526549,111.6,58.8,10.2,133.4
15.28,C,Railroad,31.45626247,-82.5208346,GA,Oct,9/25/2006,2006,12,1,21.77922078,21.4,21.37078652,13.57374245,2.048051948,2.307058824,2.541573034,2.669215292,69.71698113,66.78767123,64.97101449,75.75216853,21.4,0.3,0.3,50.1
3,B,Debris Burning,32.526862,-94.596785,TX,Sep,8/16/2014,2014,12,0.1,27.78474758,27.01966173,25.93619048,23.74604167,2.138054054,1.957356077,2.036538462,1.886339937,73.15027027,74.95948827,74.55769231,77.69400631,22.4,9.9,0.5,75.4
2,B,Miscellaneous,39.29277999,-75.23615001,NJ,Mar,2/14/2006,2006,0,0.1,5.232095491,8.073878628,13.67759563,9.175461741,5.147214854,5.400527704,5.891803279,4.682585752,55.35524476,56.55858311,59.94827586,56.79480164,8.9,6.1,1.3,27.4
3.9,B,Arson,34.4644,-85.3808,GA,Mar,1/31/1999,1999,16,0.1,8.20325779,6.607932011,7.096932515,8.782237762,2.252974504,2.15184136,2.052760736,2.726713287,68.54121306,65.47865854,65.56578947,60.55620438,28.7,28.7,21.6,22.7
7,B,Debris Burning,31.67722,-94.51861,TX,Sep,8/28/2002,2002,12,0.1,25.31217184,24.43140965,22.96558704,19.75428292,2.321622912,2.595364238,3.49534413,2.0319628,71.04719324,69.29035433,63.05042017,77.6398053,53.4,13.7,8.1,64.8
1,B,Debris Burning,35.0374,-81.37038,SC,Mar,2/26/2008,2008,15,0.1,11.8416198,13.20422222,12.36368715,14.50049358,2.383239595,2.374666667,2.903910615,2.496544916,58.30708661,56.29555556,41.44134078,70.68972332,102,51.5,20.8,58.1
8,B,Arson,42.120559,-77.921957,NY,Apr,3/13/2006,2006,9,0.1,1.102795031,4.104861111,1.807986111,10.35212528,4.730512422,4.119444444,3.556944444,3.505369128,73.67493995,69.7876588,72.12222222,59.96726862,63.5,35.6,8.9,40.9
1,B,Arson,29.16778,-82.58111,FL,Sep,8/31/2006,2006,12,0.1,25.24286383,24.78107607,23.90039841,21.62721342,1.534411627,1.41996286,1.403784861,2.079962721,76.8806391,72.76230269,71.14143426,66.88397018,76.4,28.3,0.3,13.8
2,B,Miscellaneous,40.57239532,-101.9798584,NE,Jun,5/27/2009,2009,15,0.1,18.25439331,19.70320641,22.57920792,22.84744608,3.811401674,3.576953908,3.52029703,4.003412969,71.81422505,74.07010309,67.12182741,67.20457143,91.1,59.6,5.6,107.4
2,B,Debris Burning,38.73519239,-81.56167083,WV,Mar,2/17/2010,2010,0,0.1,3.856309835,7.689051095,9.234628975,13.94552381,2.197009675,1.463011152,1.7925,2.283942308,74.1561939,69.73603083,78.01532567,57.28042843,113,89,85.2,173.9
1.5,B,Lightning,29.83667,-85.20165997,FL,Jun,5/11/2007,2007,12,0.1,24.42647059,24.92459016,25.91347518,27.01954733,4.139918534,4.344808743,4.654255319,3.019381443,68.7586558,72.60837887,77.35815603,71.62264151,9.8,0.6,0.6,135.4
7,B,Children,30.12,-81.79,FL,Apr,3/12/2000,2000,12,0.1,17.96886675,18.3101737,15.70056497,19.78589421,3.973611111,4.13071066,3.977647059,3.151958225,71.85220994,68.78089888,63.15757576,72.02269289,46.5,30,5.1,39.9
1,B,Miscellaneous,46.350745,-94.185656,MN,May,4/12/1996,1996,9,0.1,4.661899038,6.379123711,6.895073892,13.60340219,2.738795181,2.177002584,2.413793103,2.973511543,64.63954944,56.4327957,70.2606383,64.81971466,14.3,2.3,0.3,45.5
3,B,Missing/Undefined,30.62699,-92.91934,LA,Jul,6/4/2009,2009,12,0.1,26.52183673,28.20177778,28.31603774,26.69,0.863367347,0.623555556,0.61745283,0.846555556,73.17717391,69.2575406,68.27536232,79.43699422,23.4,11.5,5.6,136.2
1.2,B,Children,32.51746278,-83.65395442,GA,Dec,11/4/2007,2007,12,0.1,12.80410095,13.83161512,13.57453704,12.38535593,2.36382755,2.543986254,2.868981481,2.101423729,69.82932692,73.26766595,69.57075472,77.9375,22.7,21.7,14.4,238.4
2,B,Miscellaneous,41.32919221,-74.1880388,NY,Aug,7/10/2010,2010,15,0.1,23.92220957,23.48734177,23.8357513,21.56688963,1.677107062,1.853417722,1.786528497,1.472433036,70.57928389,66.85,69.28651685,75.41104294,61,35.1,31.8,146.5
7,B,Debris Burning,34.46472,-82.59054997,SC,Feb,1/19/2005,2005,16,0.1,5.583507307,8.312992126,9.846153846,8.1107628,2.755219207,2.423425197,2.460180995,3.385235602,66.49407583,72.1624714,70.35204082,67.57705287,39.2,38.7,13,139.9
7,B,Debris Burning,35.265,-88.19434,TN,Mar,2/24/2008,2008,15,0.1,8.577181208,12.12312925,11.55,14.35654822,4.599731544,4.520861678,5.1285,3.783959391,69.28590604,65.45351474,64.73,72.57942974,181.5,94.1,43.4,231.6
1,B,Debris Burning,31.99,-95.72,TX,May,4/30/2009,2009,12,0.1,23.1664919,22.28374291,23.19107505,27.74394662,2.64056244,2.200756144,1.776876268,2.365204957,68.17302193,63.27693762,68.44421907,58.57340324,15.7,12.9,12.9,12.2
13.5,C,Debris Burning,33.4356,-81.7403,SC,Mar,2/6/2002,2002,16,1,8.557265877,8.594230769,8.245991561,15.8203252,2.751130248,3.231196581,3.033755274,2.76453252,60.37899543,57.89366516,61.7260274,67.76450116,156,63,59.4,122.8
2,B,Arson,39.3375,-75.06667,NJ,Apr,3/29/1998,1998,0,0.1,13.58007566,13.91089109,13.05027933,16.62310385,4.24627995,3.764356436,3.206145251,3.554842474,65.1443299,66.87068966,65.6954023,69.6567718,63.8,25.8,3.8,115.4
1.5,B,Debris Burning,41.83333333,-121.5,CA,May,4/17/2000,2000,15,0.1,6.981751825,6.798053528,5.682539683,13.10909091,3.706138107,3.946446701,4.276373626,3.244062947,67.61708395,67.73255814,66.90184049,61.42615385,18,12.8,7.6,3.6
1,B,Debris Burning,42.489253,-95.668652,IA,May,4/16/2013,2013,9,0.1,8.980480905,11.08886792,15.17654321,17.40584687,4.308580858,4.053018868,4.058641975,3.866589327,66.31099575,65.14177694,49.28719008,76.56191806,25,11.5,2.8,168.7
5,B,Lightning,30.22291999,-94.89375001,TX,Aug,7/11/2000,2000,12,0.1,28.89859155,27.93837535,28.06586826,29.17780939,2.64971831,2.411764706,2.325748503,2.000711238,65.96006144,68.32792208,68.11029412,59.38646617,14.3,7.2,3.6,16
42.14,C,Arson,34.3806703,-85.3424525,GA,Feb,1/24/2004,2004,16,1,4.900845865,5.707663551,6.487330317,11.91052632,2.559492481,2.013271028,2.092307692,2.21645933,70.10935857,70.44206009,63.06282723,67.37536946,291.5,69.9,18.2,120.8
2,B,Miscellaneous,32.364303,-97.077942,TX,Dec,11/1/2010,2010,12,0.1,13.47725784,13.54666667,12.01984127,8.82129153,4.18905007,4.735925926,5.019444444,4.060177819,65.7215723,63.46388889,54.4047619,61.25081891,29.8,3.6,3.3,27.9
1.83,B,Debris Burning,31.95005069,-84.1461696,GA,Mar,2/1/2004,2004,12,0.1,8.583608147,8.63946281,7.984552846,15.79569536,3.490397672,3.423553719,4.027235772,2.918322296,71.89970789,69.17975207,75.69918699,56.98454746,305,79.4,77.4,25.8
5,B,Arson,35.8917,-85.2233,TN,Apr,3/26/2001,2001,15,0.1,12.74019851,15.14810127,14.52192513,17.3622251,2.282506203,2.770126582,3.314973262,2.082579787,66.75254731,63.85595568,54.18471338,68.0483871,43.5,42.2,1,19.2
