Fire_Size,Fire_Cause,Latitude,Longitude,State,Discovery_Date
1.0,Debris Burning,33.1769,-94.0277,AR,7/21/2007
25.0,Children,25.6,-80.41,FL,3/23/2000
1.0,Lightning,30.72463,-92.97003,LA,1/18/2010
3.0,Debris Burning,33.90299001,-93.44752997,AR,9/23/2003
7.0,Miscellaneous,34.46416998,-81.95444001,SC,1/14/2003
10.0,Lightning,29.32611,-82.54833,FL,5/21/2008
1.0,Miscellaneous,43.82040886,-97.98757553,SD,6/15/2012
2.0,Arson,48.37876329,-96.33284281,MN,4/17/2009
1.1,Missing/Undefined,30.79052,-90.77571,LA,1/9/2009
1.0,Miscellaneous,28.89412,-98.99644,TX,11/12/2008
4.0,Miscellaneous,42.0327573,-72.4542676,CT,3/16/2015
1.0,Arson,30.9836,-88.4608,MS,1/20/2005
2.0,Railroad,30.5,-81.8,FL,2/5/1994
1.0,Lightning,42.64098,-97.11285,NE,9/4/2007
12.0,Debris Burning,32.2617,-84.9931,AL,8/18/1999
1.0,Debris Burning,37.3333,-78.8333,VA,3/23/1999
4.0,Miscellaneous,37.96,-91.77,MO,3/10/2007
1.0,Equipment Use,35.53757,-101.0713,TX,4/14/2006
2.0,Debris Burning,31.54472,-92.22494,LA,2/22/2013
1.0,Arson,35.3,-77.6667,NC,3/6/2004
7.0,Arson,30.95625,-93.75625,TX,9/13/1992
2.0,Missing/Undefined,30.549811,-88.508569,MS,3/16/2010
1.0,Missing/Undefined,35.85633,-79.06799,NC,1/10/2008
5.0,Debris Burning,31.983802,-96.374645,TX,9/15/2012
1.0,Debris Burning,31.602409,-96.288128,TX,8/27/2014
3.0,Arson,32.5303,-85.7892,AL,9/14/2000
1.0,Debris Burning,31.56523999,-97.15959,TX,1/10/2006
2.0,Missing/Undefined,44.76128004,-106.9391025,WY,3/12/1994
31.5,Lightning,42.8449,-117.0432,OR,7/6/2003
2.0,Missing/Undefined,31.962648,-89.860746,MS,2/20/2008
1.0,Equipment Use,33.46040998,-95.08957998,TX,8/20/2000
3.0,Debris Burning,30.85,-94.89667,TX,6/24/2002
2.0,Debris Burning,32.11054997,-95.69360998,TX,11/26/2003
5.0,Lightning,42.61210632,-102.4387512,NE,7/10/2010
1.0,Lightning,37.34277778,-107.3291667,CO,7/2/2003
9.0,Miscellaneous,38.75,-75.42,DE,6/6/2004
2.0,Arson,30.71073471,-90.78055728,LA,2/1/2006
30.0,Debris Burning,36.13666001,-91.41999999,AR,3/15/2004
3.0,Debris Burning,38.85,-93.8,MO,7/7/2003
182.0,Arson,32.42708,-94.40625,TX,1/18/1999
2.7,Arson,34.1556,-83.9306,GA,8/17/1999
10.0,Debris Burning,41.10611111,-121.5619444,CA,2/25/2006
0.79,Equipment Use,30.94185642,-84.9274357,GA,8/29/2006
3.0,Debris Burning,32.56666999,-94.84999999,TX,3/14/2003
30.0,Missing/Undefined,30.536777,-88.793104,MS,2/1/2008
1430.0,Lightning,46.7175,-115.1875,ID,7/14/2006
3.0,Arson,31.71236,-92.21371,LA,3/24/2008
30.0,Miscellaneous,35.8833,-82.6,NC,2/22/2002
25.0,Missing/Undefined,34.6525,-79.02846,NC,11/3/2007
4.0,Arson,33.4044,-86.0539,AL,1/29/1999
13.0,Debris Burning,35.1333,-82.6833,NC,4/20/2000
1.0,Miscellaneous,39.74508,-92.51015,MO,2/13/2002
3.5,Debris Burning,28.73333,-82.24333,FL,1/28/2007
5.0,Debris Burning,32.0633,-89.915,MS,6/14/2000
2.0,Arson,30.4361,-88.3686,AL,9/22/1999
1.27,Miscellaneous,33.29265848,-82.6860414,GA,2/24/2006
1.0,Arson,41.583713,-74.982933,NY,6/15/1999
1.0,Smoking,30.590877,-96.324027,TX,2/15/2013
1.0,Arson,25.50528,-80.39528,FL,2/4/2009
1.12,Campfire,32.32117665,-83.44175924,GA,1/23/2009
6.0,Miscellaneous,30.610892,-88.300891,AL,3/3/2010
2.0,Equipment Use,35.13637,-92.96178,AR,2/18/2007
